チーム1回目,1,2,3,4,5,6,7,8
A,A002,A033,A068,A112,A150,A039,A103,A184
B,A003,A034,A069,A116,A151,A040,A106,A185
C,A004,A035,A070,A117,A152,A043,A111,A187
D,A005,A036,A071,A118,A153,A044,A113,A188
E,A006,A037,A075,A120,A154,A050,A114,A189
F,A007,A038,A076,A122,A157,A052,A115,A190
G,A008,A041,A077,A125,A158,A053,A119,A192
H,A009,A042,A078,A126,A159,A060,A121,A196
I,A011,A045,A080,A128,A160,A061,A123,A197
J,A012,A046,A084,A129,A163,A066,A124,
K,A013,A047,A085,A130,A164,A072,A127,
L,A014,A048,A088,A132,A165,A073,A131,
M,A016,A049,A089,A133,A166,A074,A134,
N,A018,A051,A091,A135,A167,A079,A136,
O,A021,A054,A094,A138,A168,A081,A137,
P,A022,A055,A095,A139,A170,A082,A141,
Q,A023,A056,A096,A140,A171,A083,A155,
R,A024,A057,A101,A142,A173,A086,A156,
S,A025,A058,A102,A143,A175,A087,A161,
T,A026,A059,A104,A144,A176,A090,A162,
U,A027,A062,A105,A145,A177,A092,A169,
V,A028,A063,A107,A146,A015,A093,A172,
W,A030,A064,A108,A147,A017,A097,A174,
X,A031,A065,A109,A148,A019,A098,A179,
Y,A032,A067,A110,A149,A029,A099,A183,
