チーム3回目,1,2,3,4,5
1,A058,A112,A117,A148,A189
2,A038,A132,A142,A179,A196
3,A023,A051,A075,A098,A172
4,A101,A135,A165,A087,A184
5,A036,A084,A107,A171,A082
6,A094,A130,A176,A043,A183
7,A007,A037,A078,A163,A155
8,A046,A070,A080,A122,A053
9,A016,A091,A160,A040,A073
10,A056,A143,A066,A081,A187
11,A005,A006,A033,A104,A017
12,A013,A025,A128,A044,A099
13,A035,A125,A177,A114,A174
14,A116,A138,A153,A115,A123
15,A002,A109,A145,A152,A188
16,A028,A076,A164,A124,A169
17,A059,A095,A150,A092,A111
18,A021,A026,A085,A154,A190
19,A024,A042,A175,A052,A185
20,A062,A129,A140,A134,A137
21,A055,A108,A133,A015,A090
22,A048,A147,A173,A106,A113
23,A003,A004,A065,A068,A061
24,A034,A067,A144,A192,A197
25,A018,A047,A110,A119,A162
26,A012,A088,A118,A060,A086
27,A071,A096,A149,A167,A131
28,A030,A057,A102,A050,A136
29,A077,A157,A168,A083,A121
30,A022,A032,A049,A039,A156
31,A027,A041,A120,A074,A093
32,A009,A011,A072,A103,
33,A008,A146,A170,A097,A161
34,A045,A054,A064,A166,A029
35,A031,A151,A158,A159,A127
36,A069,A089,A105,A126,A141
37,A014,A063,A139,A019,A079
