,氏名,チーム1回目,チーム2回目,チーム3回目
0,A002,A,1,15
1,A003,B,2,23
2,A004,C,3,23
3,A005,D,4,11
4,A006,E,5,11
5,A007,F,6,7
6,A008,G,7,33
7,A009,H,8,32
8,A011,I,9,32
9,A012,J,10,26
10,A013,K,11,12
11,A014,L,12,37
12,A016,M,13,9
13,A018,N,14,25
14,A021,O,15,18
15,A022,P,16,30
16,A023,Q,17,3
17,A024,R,18,19
18,A025,S,19,12
19,A026,T,20,18
20,A027,U,21,31
21,A028,V,22,16
22,A030,W,23,28
23,A031,X,24,35
24,A032,Y,25,30
25,A033,A,26,11
26,A034,B,27,24
27,A035,C,28,13
28,A036,D,29,5
29,A037,E,30,7
30,A038,F,31,2
31,A041,G,32,31
32,A042,H,33,19
33,A045,I,34,34
34,A046,J,35,8
35,A047,K,36,25
36,A048,L,37,22
37,A049,M,1,30
38,A051,N,2,3
39,A054,O,3,34
40,A055,P,4,21
41,A056,Q,5,10
42,A057,R,6,28
43,A058,S,7,1
44,A059,T,8,17
45,A062,U,9,20
46,A063,V,10,37
47,A064,W,11,34
48,A065,X,12,23
49,A067,Y,13,24
50,A068,A,14,23
51,A069,B,15,36
52,A070,C,16,8
53,A071,D,17,27
54,A075,E,18,3
55,A076,F,19,16
56,A077,G,20,29
57,A078,H,21,7
58,A080,I,22,8
59,A084,J,23,5
60,A085,K,24,18
61,A088,L,25,26
62,A089,M,26,36
63,A091,N,27,9
64,A094,O,28,6
65,A095,P,29,17
66,A096,Q,30,27
67,A101,R,31,4
68,A102,S,32,28
69,A104,T,33,11
70,A105,U,34,36
71,A107,V,35,5
72,A108,W,36,21
73,A109,X,37,15
74,A110,Y,1,25
75,A112,A,2,1
76,A116,B,3,14
77,A117,C,4,1
78,A118,D,5,26
79,A120,E,6,31
80,A122,F,7,8
81,A125,G,8,13
82,A126,H,9,36
83,A128,I,10,12
84,A129,J,11,20
85,A130,K,12,6
86,A132,L,13,2
87,A133,M,14,21
88,A135,N,15,4
89,A138,O,16,14
90,A139,P,17,37
91,A140,Q,18,20
92,A142,R,19,2
93,A143,S,20,10
94,A144,T,21,24
95,A145,U,22,15
96,A146,V,23,33
97,A147,W,24,22
98,A148,X,25,1
99,A149,Y,26,27
100,A150,A,27,17
101,A151,B,28,35
102,A152,C,29,15
103,A153,D,30,14
104,A154,E,31,18
105,A157,F,32,29
106,A158,G,33,35
107,A159,H,34,35
108,A160,I,35,9
109,A163,J,36,7
110,A164,K,37,16
111,A165,L,1,4
112,A166,M,2,34
113,A167,N,3,27
114,A168,O,4,29
115,A170,P,5,33
116,A171,Q,6,5
117,A173,R,7,22
118,A175,S,8,19
119,A176,T,9,6
120,A177,U,10,13
121,A015,V,11,21
122,A017,W,12,11
123,A019,X,13,37
124,A029,Y,14,34
125,A039,A,15,30
126,A040,B,16,9
127,A043,C,17,6
128,A044,D,18,12
129,A050,E,19,28
130,A052,F,20,19
131,A053,G,21,8
132,A060,H,22,26
133,A061,I,23,23
134,A066,J,24,10
135,A072,K,25,32
136,A073,L,26,9
137,A074,M,27,31
138,A079,N,28,37
139,A081,O,29,10
140,A082,P,30,5
141,A083,Q,31,29
142,A086,R,32,26
143,A087,S,33,4
144,A090,T,34,21
145,A092,U,35,17
146,A093,V,36,31
147,A097,W,37,33
148,A098,X,1,3
149,A099,Y,2,12
150,A103,A,3,32
151,A106,B,4,22
152,A111,C,5,17
153,A113,D,6,22
154,A114,E,7,13
155,A115,F,8,14
156,A119,G,9,25
157,A121,H,10,29
158,A123,I,11,14
159,A124,J,12,16
160,A127,K,13,35
161,A131,L,14,27
162,A134,M,15,20
163,A136,N,16,28
164,A137,O,17,20
165,A141,P,18,36
166,A155,Q,19,7
167,A156,R,20,30
168,A161,S,21,33
169,A162,T,22,25
170,A169,U,23,16
171,A172,V,24,3
172,A174,W,25,13
173,A179,X,26,2
174,A183,Y,27,6
175,A184,A,28,4
176,A185,B,29,19
177,A187,C,30,10
178,A188,D,31,15
179,A189,E,32,1
180,A190,F,33,18
181,A192,G,34,24
182,A196,H,35,2
183,A197,I,36,24
