チーム1回目,1,2,3,4,5,6,7,8
A,A178,A224,A263,A307,A343,A207,A278,A346
B,A180,A225,A264,A308,A345,A208,A279,A349
C,A181,A226,A265,A309,A347,A210,A280,A351
D,A182,A227,A267,A312,A348,A211,A281,A353
E,A186,A228,A268,A313,A350,A213,A284,A357
F,A191,A229,A269,A315,A352,A222,A285,A359
G,A193,A230,A270,A316,A354,A232,A287,A360
H,A194,A231,A273,A317,A355,A233,A288,A367
I,A195,A234,A274,A318,A356,A236,A289,A368
J,A198,A235,A277,A319,A358,A237,A291,A371
K,A199,A239,A282,A321,A361,A238,A295,
L,A202,A240,A283,A322,A362,A241,A299,
M,A204,A242,A286,A323,A363,A245,A304,
N,A206,A243,A290,A326,A364,A246,A310,
O,A209,A244,A292,A327,A365,A250,A311,
P,A212,A247,A293,A329,A366,A252,A314,
Q,A214,A248,A294,A330,A369,A253,A320,
R,A215,A249,A296,A331,A370,A255,A324,
S,A216,A251,A297,A332,A372,A256,A325,
T,A217,A254,A298,A333,A373,A257,A328,
U,A218,A258,A301,A335,A374,A266,A334,
V,A219,A259,A302,A336,A375,A271,A337,
W,A220,A260,A303,A339,A201,A272,A338,
X,A221,A261,A305,A341,A203,A275,A340,
Y,A223,A262,A306,A342,A205,A276,A344,
