チーム2回目,1,2,3,4,5
1,A178,A242,A306,A362,A275
2,A180,A243,A307,A363,A276
3,A181,A244,A308,A364,A278
4,A182,A247,A309,A365,A279
5,A186,A248,A312,A366,A280
6,A191,A249,A313,A369,A281
7,A193,A251,A315,A370,A284
8,A194,A254,A316,A372,A285
9,A195,A258,A317,A373,A287
10,A198,A259,A318,A374,A288
11,A199,A260,A319,A375,A289
12,A202,A261,A321,A201,A291
13,A204,A262,A322,A203,A295
14,A206,A263,A323,A205,A299
15,A209,A264,A326,A207,A304
16,A212,A265,A327,A208,A310
17,A214,A267,A329,A210,A311
18,A215,A268,A330,A211,A314
19,A216,A269,A331,A213,A320
20,A217,A270,A332,A222,A324
21,A218,A273,A333,A232,A325
22,A219,A274,A335,A233,A328
23,A220,A277,A336,A236,A334
24,A221,A282,A339,A237,A337
25,A223,A283,A341,A238,A338
26,A224,A286,A342,A241,A340
27,A225,A290,A343,A245,A344
28,A226,A292,A345,A246,A346
29,A227,A293,A347,A250,A349
30,A228,A294,A348,A252,A351
31,A229,A296,A350,A253,A353
32,A230,A297,A352,A255,A357
33,A231,A298,A354,A256,A359
34,A234,A301,A355,A257,A360
35,A235,A302,A356,A266,A367
36,A239,A303,A358,A271,A368
37,A240,A305,A361,A272,A371
