,氏名,チーム1回目,チーム2回目,チーム3回目
0,A178,A,1,22
1,A180,B,2,24
2,A181,C,3,11
3,A182,D,4,12
4,A186,E,5,24
5,A191,F,6,5
6,A193,G,7,27
7,A194,H,8,1
8,A195,I,9,7
9,A198,J,10,29
10,A199,K,11,37
11,A202,L,12,32
12,A204,M,13,2
13,A206,N,14,34
14,A209,O,15,25
15,A212,P,16,14
16,A214,Q,17,31
17,A215,R,18,3
18,A216,S,19,21
19,A217,T,20,10
20,A218,U,21,37
21,A219,V,22,19
22,A220,W,23,28
23,A221,X,24,34
24,A223,Y,25,35
25,A224,A,26,10
26,A225,B,27,34
27,A226,C,28,36
28,A227,D,29,5
29,A228,E,30,21
30,A229,F,31,17
31,A230,G,32,33
32,A231,H,33,26
33,A234,I,34,18
34,A235,J,35,12
35,A239,K,36,30
36,A240,L,37,17
37,A242,M,1,20
38,A243,N,2,15
39,A244,O,3,26
40,A247,P,4,13
41,A248,Q,5,26
42,A249,R,6,4
43,A251,S,7,8
44,A254,T,8,9
45,A258,U,9,19
46,A259,V,10,36
47,A260,W,11,11
48,A261,X,12,23
49,A262,Y,13,28
50,A263,A,14,7
51,A264,B,15,19
52,A265,C,16,25
53,A267,D,17,9
54,A268,E,18,34
55,A269,F,19,31
56,A270,G,20,7
57,A273,H,21,35
58,A274,I,22,29
59,A277,J,23,23
60,A282,K,24,17
61,A283,L,25,24
62,A286,M,26,27
63,A290,N,27,8
64,A292,O,28,8
65,A293,P,29,9
66,A294,Q,30,28
67,A296,R,31,16
68,A297,S,32,18
69,A298,T,33,16
70,A301,U,34,6
71,A302,V,35,6
72,A303,W,36,4
73,A305,X,37,5
74,A306,Y,1,15
75,A307,A,2,3
76,A308,B,3,33
77,A309,C,4,1
78,A312,D,5,23
79,A313,E,6,22
80,A315,F,7,12
81,A316,G,8,20
82,A317,H,9,5
83,A318,I,10,30
84,A319,J,11,35
85,A321,K,12,4
86,A322,L,13,29
87,A323,M,14,3
88,A326,N,15,16
89,A327,O,16,32
90,A329,P,17,21
91,A330,Q,18,14
92,A331,R,19,20
93,A332,S,20,28
94,A333,T,21,7
95,A335,U,22,33
96,A336,V,23,13
97,A339,W,24,37
98,A341,X,25,2
99,A342,Y,26,18
100,A343,A,27,6
101,A345,B,28,25
102,A347,C,29,31
103,A348,D,30,13
104,A350,E,31,15
105,A352,F,32,6
106,A354,G,33,31
107,A355,H,34,4
108,A356,I,35,23
109,A358,J,36,18
110,A361,K,37,27
111,A362,L,1,11
112,A363,M,2,22
113,A364,N,3,32
114,A365,O,4,36
115,A366,P,5,2
116,A369,Q,6,8
117,A370,R,7,14
118,A372,S,8,10
119,A373,T,9,2
120,A374,U,10,1
121,A375,V,11,15
122,A201,W,12,33
123,A203,X,13,19
124,A205,Y,14,8
125,A207,A,15,18
126,A208,B,16,1
127,A210,C,17,7
128,A211,D,18,37
129,A213,E,19,6
130,A222,F,20,9
131,A232,G,21,32
132,A233,H,22,17
133,A236,I,23,31
134,A237,J,24,19
135,A238,K,25,11
136,A241,L,26,20
137,A245,M,27,35
138,A246,N,28,29
139,A250,O,29,13
140,A252,P,30,27
141,A253,Q,31,3
142,A255,R,32,1
143,A256,S,33,33
144,A257,T,34,13
145,A266,U,35,20
146,A271,V,36,21
147,A272,W,37,25
148,A275,X,1,36
149,A276,Y,2,30
150,A278,A,3,25
151,A279,B,4,30
152,A280,C,5,15
153,A281,D,6,2
154,A284,E,7,28
155,A285,F,8,16
156,A287,G,9,14
157,A288,H,10,10
158,A289,I,11,14
159,A291,J,12,36
160,A295,K,13,23
161,A299,L,14,12
162,A304,M,15,24
163,A310,N,16,30
164,A311,O,17,35
165,A314,P,18,24
166,A320,Q,19,5
167,A324,R,20,37
168,A325,S,21,9
169,A328,T,22,11
170,A334,U,23,21
171,A337,V,24,3
172,A338,W,25,32
173,A340,X,26,17
174,A344,Y,27,27
175,A346,A,28,12
176,A349,B,29,10
177,A351,C,30,16
178,A353,D,31,26
179,A357,E,32,26
180,A359,F,33,29
181,A360,G,34,34
182,A367,H,35,22
183,A368,I,36,22
184,A371,J,37,4
